city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:31,6,0.0,Stable,22.0,22.0,22.0,6,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:37,7,0.0,Stable,22.0,22.0,22.0,7,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:43,8,0.0,Stable,22.0,22.0,22.0,8,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:49,9,0.0,Stable,22.0,22.0,22.0,9,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:40:55,10,0.0,Stable,22.0,22.0,22.0,10,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:01,11,0.0,Stable,22.0,22.0,22.0,11,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:07,12,0.0,Stable,22.0,22.0,22.0,12,Clear,No alert
Dubai,22.2,71.96,24.6,60,34.2,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:13,13,0.2,Increasing,22.02,22.2,22.0,13,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:19,14,-0.2,Decreasing,22.01,22.2,22.0,14,Clear,No alert
Ras Al Khaimah,23.3,73.94,25.1,53,24.8,1009.0,100,0.0,Overcast,Mild,Moderate,Moderate,Cloudy,2026-03-29 20:41:26,15,1.3,Increasing,22.1,23.3,22.0,1,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:32,16,-1.3,Decreasing,22.09,23.3,22.0,15,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:38,17,0.6,Increasing,22.12,23.3,22.0,16,Clear,No alert
